ID,Sampling_1,Sampling_2,Common period (Band1 & Band1),Upper error bound,Lower error bound,Significance,Band1-Band2
466420,138.68187499999976,136.56437499999993,,,,,0-1
466420,138.68187499999976,147.92733333333308,,,,,0-2
466420,138.68187499999976,138.68187499999976,,,,,0-3
466420,136.56437499999993,147.92733333333308,,,,,1-2
466420,136.56437499999993,138.68187499999976,,,,,1-3
466420,147.92733333333308,138.68187499999976,,,,,2-3
466445,114.37368421052624,110.00200000000004,,,,,0-1
466445,114.37368421052624,114.37315789473666,,,,,0-2
466445,114.37368421052624,110.00200000000004,,,,,0-3
466445,110.00200000000004,114.37315789473666,,,,,1-2
466445,110.00200000000004,110.00200000000004,,,,,1-3
466445,114.37315789473666,110.00200000000004,,,,,2-3
466433,105.66285714285706,106.0909523809522,,,,,0-1
466433,105.66285714285706,100.85954545454528,,,,,0-2
466433,105.66285714285706,96.86565217391288,,,,,0-3
466433,106.0909523809522,100.85954545454528,,,,,1-2
466433,106.0909523809522,96.86565217391288,,,,,1-3
466433,100.85954545454528,96.86565217391288,,,,,2-3
466434,44.184186046511584,40.423829787234006,,,,,0-1
466434,44.184186046511584,40.423829787234006,,,,,0-2
466434,44.184186046511584,38.77387755102037,,,,,0-3
466434,40.423829787234006,40.423829787234006,,,,,1-2
466434,40.423829787234006,38.77387755102037,,,,,1-3
466434,40.423829787234006,38.77387755102037,,,,,2-3
466440,40.423829787234006,42.49818181818178,,,,,0-1
466440,40.423829787234006,39.78553191489358,,,,,0-2
466440,40.423829787234006,41.30260869565213,,,,,0-3
466440,42.49818181818178,39.78553191489358,,,,,1-2
466440,42.49818181818178,41.30260869565213,,,,,1-3
466440,39.78553191489358,41.30260869565213,,,,,2-3
466432,44.184186046511584,45.23619047619044,,,,,0-1
466432,44.184186046511584,44.184186046511584,,,,,0-2
466432,44.184186046511584,43.17999999999996,,,,,0-3
466432,45.23619047619044,44.184186046511584,,,,,1-2
466432,45.23619047619044,43.17999999999996,,,,,1-3
466432,44.184186046511584,43.17999999999996,,,,,2-3
466431,41.23925925925923,40.67163636363641,,,,,0-1
466431,41.23925925925923,41.23907407407414,,,,,0-2
466431,41.23925925925923,43.664901960784384,,,,,0-3
466431,40.67163636363641,41.23907407407414,,,,,1-2
466431,40.67163636363641,43.664901960784384,,,,,1-3
466431,41.23907407407414,43.664901960784384,,,,,2-3
466441,38.070172413793095,38.070172413793095,,,,,0-1
466441,38.070172413793095,38.738070175438594,,,,,0-2
466441,38.070172413793095,40.14672727272727,,,,,0-3
466441,38.070172413793095,38.738070175438594,,,,,1-2
466441,38.070172413793095,40.14672727272727,,,,,1-3
466441,38.738070175438594,40.14672727272727,,,,,2-3
466423,38.77387755102037,39.58166666666663,,,,,0-1
466423,38.77387755102037,42.13133333333325,,,,,0-2
466423,38.77387755102037,40.423829787234006,,,,,0-3
466423,39.58166666666663,42.13133333333325,,,,,1-2
466423,39.58166666666663,40.423829787234006,,,,,1-3
466423,42.13133333333325,40.423829787234006,,,,,2-3
466419,47.49799999999996,42.22022222222214,,,,,0-1
466419,47.49799999999996,39.58166666666663,,,,,0-2
466419,47.49799999999996,44.184186046511584,,,,,0-3
466419,42.22022222222214,39.58166666666663,,,,,1-2
466419,42.22022222222214,44.184186046511584,,,,,1-3
466419,39.58166666666663,44.184186046511584,,,,,2-3
466424,35.847547169811286,35.847547169811286,,,,,0-1
466424,35.847547169811286,35.847547169811286,,,,,0-2
466424,35.847547169811286,37.25313725490189,,,,,0-3
466424,35.847547169811286,35.847547169811286,,,,,1-2
466424,35.847547169811286,37.25313725490189,,,,,1-3
466424,35.847547169811286,37.25313725490189,,,,,2-3
466413,48.71589743589739,51.34918918918914,,,,,0-1
466413,48.71589743589739,49.997894736842056,,,,,0-2
466413,48.71589743589739,48.71564102564093,,,,,0-3
466413,51.34918918918914,49.997894736842056,,,,,1-2
466413,51.34918918918914,48.71564102564093,,,,,1-3
466413,49.997894736842056,48.71564102564093,,,,,2-3
466422,42.20622641509434,41.42481481481486,,,,,0-1
466422,42.20622641509434,41.42462962962964,,,,,0-2
466422,42.20622641509434,41.42462962962964,,,,,0-3
466422,41.42481481481486,41.42462962962964,,,,,1-2
466422,41.42481481481486,41.42462962962964,,,,,1-3
466422,41.42462962962964,41.42462962962964,,,,,2-3
466410,65.51448275862063,61.287741935483815,,,,,0-1
466410,65.51448275862063,59.372499999999945,,,,,0-2
466410,65.51448275862063,61.287741935483815,,,,,0-3
466410,61.287741935483815,59.372499999999945,,,,,1-2
466410,61.287741935483815,61.287741935483815,,,,,1-3
466410,59.372499999999945,61.287741935483815,,,,,2-3
466430,39.24438596491228,39.24438596491228,,,,,0-1
466430,39.24438596491228,39.24438596491228,,,,,0-2
466430,39.24438596491228,39.24438596491228,,,,,0-3
466430,39.24438596491228,39.24438596491228,,,,,1-2
466430,39.24438596491228,39.24438596491228,,,,,1-3
466430,39.24438596491228,39.24438596491228,,,,,2-3
466414,42.168679245283066,45.61102040816331,,,,,0-1
466414,42.168679245283066,39.9096428571429,,,,,0-2
466414,42.168679245283066,36.047258064516136,,,,,0-3
466414,45.61102040816331,39.9096428571429,,,,,1-2
466414,45.61102040816331,36.047258064516136,,,,,1-3
466414,39.9096428571429,36.047258064516136,,,,,2-3
466411,44.184186046511584,41.30260869565213,,,,,0-1
466411,44.184186046511584,41.30260869565213,,,,,0-2
466411,44.184186046511584,43.17999999999996,,,,,0-3
466411,41.30260869565213,41.30260869565213,,,,,1-2
466411,41.30260869565213,43.17999999999996,,,,,1-3
466411,41.30260869565213,43.17999999999996,,,,,2-3
